month,failure,realFail,temps_fonctionnement_parJ,temps_utile/inutile,temps_brut,temps_net,productivite,mtbf,mttr,disponibilité_materielle
1,0,11,12,-11,390,186.0,47,33.81818181818182,35.91103117855954,0.48499302322202087
2,0,9,12,-9,274,186.0,67,41.333333333333336,18.939582216129992,0.6857696024247059
3,0,6,12,-6,267,186.0,69,62.0,26.224821243941832,0.7027500778785355
4,0,9,12,-9,319,186.0,58,41.333333333333336,28.68810376099971,0.5902954159259681
5,0,11,12,-11,337,186.0,55,33.81818181818182,26.59148324208884,0.5598140924046087
6,0,9,12,-9,383,186.0,48,41.333333333333336,42.41550092057281,0.49353920805656465
7,0,7,12,-7,315,186.0,59,53.142857142857146,35.86658153376587,0.5970474360132587
8,0,8,12,-8,381,186.0,48,46.5,47.185713841250475,0.4963403500217098
9,0,15,12,-15,441,186.0,42,24.8,33.000791151599046,0.4290598710829915
10,0,4,12,-4,239,186.0,77,93.0,25.974456698574592,0.7816803924191756
11,0,6,12,-6,268,186.0,69,62.0,26.72008125145679,0.6988271327691323
12,0,8,12,-8,317,186.0,58,46.5,31.916883233210136,0.5929845472397824
