month,failure,realFail,temps_fonctionnement_parJ,temps_utile/inutile,temps_brut,temps_net,productivite,mtbf,mttr,disponibilité_materielle
1,6,11,12,-5,485,268.8058528354544,55,33.81818181818182,38.09644938389404,0.47025454004143785
2,6,9,12,-3,353,217.6348228623038,61,41.333333333333336,29.208595032480602,0.5859399408389907
3,4,6,12,-2,355,241.2463382810129,67,62.0,36.74935150377104,0.6278522244030367
4,4,9,12,-5,406,221.01465708929325,54,41.333333333333336,39.92524252673807,0.5086642596900789
5,6,11,12,-5,411,249.19697070391592,60,33.81818181818182,28.604414683179154,0.5417618573018586
6,5,9,12,-4,424,235.38871068289836,55,41.333333333333336,40.56307163950559,0.5047026587680082
7,5,7,12,-2,347,237.2484030953194,68,53.142857142857146,30.536231784945322,0.6350792990672772
8,12,8,12,4,473,329.62825692504043,69,46.5,15.851805528789445,0.7457682998214021
9,16,15,12,1,363,274.8446421238674,75,24.8,27.528367407663136,0.4739303217086075
10,11,4,12,7,343,264.7924639925408,77,93.0,45.47221909563609,0.6716148596980985
11,4,6,12,-2,354,244.53805182481315,69,62.0,35.57510688318001,0.6354079639823337
12,2,8,12,-6,371,201.5382742456563,54,46.5,41.15377048566661,0.530496289462001
